,original_index,item_number,document_number,volume,start_page,page_length,agency,title,action_FR_coded,phase,action,joint,publication_date,html_url,REG_DOT_GOV_DOCNO,RIN,identifier,URL,coded_on_sheet
215,66,0,2012-15004,77,37265,19,OCC,Lending Limits,Interim final rule and request for comments.,INTERIM-FINAL,Issuance,No,6/21/12,https://www.federalregister.gov/documents/2012/06/21/2012-15004/lending-limits,OCC-2012-0007-0001,1557-AD59,OCC-2012-0007,https://www.regulations.gov/docket?D=OCC-2012-0007,Documents
216,66,1,2013-15174,78,37930,17,OCC,Lending Limits,Final rule.,FINAL,Issuance,No,6/25/13,https://www.federalregister.gov/documents/2013/06/25/2013-15174/lending-limits,OCC-2012-0007-0018,1557-AD59,OCC-2012-0007,https://www.regulations.gov/docket?D=OCC-2012-0007,Documents
217,67,0,2014-11473,79,33259,129,OCC,Integration of National Bank and Federal Savings Association Regulations: Licensing Rules,Notice of proposed rulemaking.,NPR,Issuance,No,6/10/14,https://www.federalregister.gov/documents/2014/06/10/2014-11473/integration-of-national-bank-and-federal-savings-association-regulations-licensing-rules,OCC-2014-0007-0001,1557-AD80,OCC-2014-0007,https://www.regulations.gov/docket?D=OCC-2014-0007,Documents
218,68,0,2011-22469,76,54717,5,FRS,Supervised Securities Holding Companies Registration,Proposed rule with request for public comments.,NPR,Issuance,No,9/2/11,https://www.federalregister.gov/documents/2011/09/02/2011-22469/supervised-securities-holding-companies-registration,FRS-2011-0245-0001,7100-AD81,R-1430,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1430&doc_ver=1,Documents
219,68,1,2012-13311,77,32881,4,FRS,Supervised Securities Holding Company Registration,Final rule.,FINAL,Issuance,No,6/4/12,https://www.federalregister.gov/documents/2012/06/04/2012-13311/supervised-securities-holding-company-registration,FRS-2012-0162-0001,7100-AD81,R-1430,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1430&doc_ver=1,Documents
220,69,0,2010-29277,75,72741,11,FRS,Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity Fund or Hedge Fund Activities,Proposed rule; request for public comment.,NPR,Issuance,No,11/26/10,https://www.federalregister.gov/documents/2010/11/26/2010-29277/conformance-period-for-entities-engaged-in-prohibited-proprietary-trading-or-private-equity-fund-or,FRS-2010-0347-0001,7100-AD58,R-1397,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1397&doc_ver=1,Documents
221,69,1,2011-3199,76,8265,14,FRS,Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity Fund or Hedge Fund Activities,Final rule.,FINAL,Issuance,No,2/14/11,https://www.federalregister.gov/documents/2011/02/14/2011-3199/conformance-period-for-entities-engaged-in-prohibited-proprietary-trading-or-private-equity-fund-or,FRS-2011-0036-0001,7100-AD58,R-1397,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1397&doc_ver=1,Documents
222,70,0,2011-27184,76,68846,127,FDIC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Notice of proposed rulemaking.,NPR,Issuance,No,11/7/11,https://www.federalregister.gov/documents/2011/11/07/2011-27184/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,FDIC-2011-0149-0001,3064-AD85,3064-AD85,https://www.fdic.gov/regulations/laws/federal/2011/11comad85.html,Documents
223,70,1,2011-27184,76,68846,127,FRS,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Notice of proposed rulemaking.,NPR,Issuance,No,11/7/11,https://www.federalregister.gov/documents/2011/11/07/2011-27184/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,FRS-2011-0316-0001,7100-AD82,R-1432,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1432&doc_ver=1,Documents
224,70,2,2011-27184,76,68846,127,OCC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Notice of proposed rulemaking.,NPR,Issuance,No,11/7/11,https://www.federalregister.gov/documents/2011/11/07/2011-27184/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,OCC-2011-0014-0026,1557–AD44,OCC-2011-0014,https://www.regulations.gov/docket?D=OCC-2011-0014,Documents
225,70,3,2011-27184,76,68846,127,SEC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Notice of proposed rulemaking.,NPR,Issuance,No,11/7/11,https://www.federalregister.gov/documents/2011/11/07/2011-27184/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,SEC-2011-1703-0001,,S7-41-11,https://www.sec.gov/comments/s7-41-11/s74111.shtml,Documents
226,70,4,2013-31511,79,5535,272,FDIC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Final rule.,FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2013-31511/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,FDIC-2014-0015-0001,3064-AD85,3064-AD85,https://www.fdic.gov/regulations/laws/federal/2011/11comad85.html,Documents
227,70,5,2013-31511,79,5535,272,FRS,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Final rule.,FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2013-31511/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,FRS-2014-0032-0001,7100-AD82,R-1432,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1432&doc_ver=1,Documents
228,70,6,2013-31511,79,5535,272,OCC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Final rule.,FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2013-31511/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,OCC-2011-0014-3272,1557–AD44,OCC-2011-0014,https://www.regulations.gov/docket?D=OCC-2011-0014,Documents
229,70,7,2013-31511,79,5535,272,SEC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Final rule.,FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2013-31511/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,SEC-2014-0190-0001,,S7-41-11,https://www.sec.gov/comments/s7-41-11/s74111.shtml,Documents
230,71,0,2012-935,77,8331,117,CFTC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Covered Funds",Notice of proposed rulemaking.,NPR,Issuance,No,2/14/12,https://www.federalregister.gov/documents/2012/02/14/2012-935/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,CFTC-2012-0019-0001,3038-AD05,1157,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1157,Documents
231,71,1,2013-31476,79,5807,269,CFTC,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships with, Hedge Funds and Private Equity Funds",Final rule.,FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2013-31476/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with,CFTC-2014-0013-0001,3038-AD05,1157,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1157,Documents
232,72,0,2014-02019,79,5223,6,FRS,"Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Interim final rule.,INTERIM-FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2014-02019/treatment-of-certain-collateralized-debt-obligations-backed-primarily-by-trust-preferred-securities,FRS-2014-0034-0001,7100-AE11,R-1480,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1480&doc_ver=1,Documents
233,72,2,2014-02019,79,5223,6,FDIC,"Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Interim final rule.,INTERIM-FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2014-02019/treatment-of-certain-collateralized-debt-obligations-backed-primarily-by-trust-preferred-securities,FDIC-2014-0016-0001,3064-AE11,3064-AE11,https://www.fdic.gov/regulations/laws/federal/2014/2014-collateralized-debt-obligations-ae11.html,Documents
234,72,3,2014-02019,79,5223,6,OCC,"Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Interim final rule.,INTERIM-FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2014-02019/treatment-of-certain-collateralized-debt-obligations-backed-primarily-by-trust-preferred-securities,OCC-2014-0003-0001,1557-AD79,OCC-2014-0003,https://www.regulations.gov/docket?D=OCC-2014-0003,Documents
235,72,4,2014-02019,79,5223,6,SEC,"Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds",Interim final rule.,INTERIM-FINAL,Issuance,No,1/31/14,https://www.federalregister.gov/documents/2014/01/31/2014-02019/treatment-of-certain-collateralized-debt-obligations-backed-primarily-by-trust-preferred-securities,SEC-2014-0189-0001,,,https://www.regulations.gov/docket?D=OCC-2014-0003,Documents
236,73,0,2011-24404,76,60319,32,SEC,Prohibition Against Conflicts of Interest in Certain Securitizations,Proposed rule.,NPR,Issuance,No,9/28/11,https://www.federalregister.gov/documents/2011/09/28/2011-24404/prohibition-against-conflicts-of-interest-in-certain-securitizations,SEC-2011-1447-0001,,S7-38-11,https://www.sec.gov/comments/s7-38-11/s73811.shtml,Documents
237,74,0,2014-10956,79,27801,14,FRS,Concentration Limits on Large Financial Companies,Notice of proposed rulemaking.,NPR,Issuance,No,5/15/14,https://www.federalregister.gov/documents/2014/05/15/2014-10956/concentration-limits-on-large-financial-companies,FRS-2014-0137-0001,7100-AE18,R-1489,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1489&doc_ver=1,Documents
238,74,1,2014-26747,79,68095,13,FRS,Concentration Limits on Large Financial Companies,Final rule.,FINAL,Issuance,No,11/14/14,https://www.federalregister.gov/documents/2014/11/14/2014-26747/concentration-limits-on-large-financial-companies,FRS-2014-0336-0001,7100-AE18,R-1489,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1489&doc_ver=1,Documents
239,75,0,2011-9002,76,20892,3,FRS,Prohibition Against Payment of Interest on Demand Deposits,Notice of proposed rulemaking; request for public comment.,NPR,Issuance,No,4/14/11,https://www.federalregister.gov/documents/2011/04/14/2011-9002/prohibition-against-payment-of-interest-on-demand-deposits,FRS-2011-0093-0001,7100–AD72,R-1413,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1413&doc_ver=1,Documents
240,75,1,2011-17886,76,42015,6,FRS,Prohibition Against Payment of Interest on Demand Deposits,Final rule.,FINAL,Issuance,No,7/18/11,https://www.federalregister.gov/documents/2011/07/18/2011-17886/prohibition-against-payment-of-interest-on-demand-deposits,FRS-2011-0196-0001,7100–AD72,R-1413,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1413&doc_ver=1,Documents
241,76,0,2011-9210,76,21265,2,FDIC,Interest on Deposits; Deposit Insurance Coverage,Notice of proposed rulemaking (NPR) and request for comment.,NPR,Issuance,No,4/15/11,https://www.federalregister.gov/documents/2011/04/15/2011-9210/interest-on-deposits-deposit-insurance-coverage,FDIC-2011-0049-0001,3064-AD78,3064-AD78,https://www.fdic.gov/regulations/laws/federal/2011/11comad78.html,Documents
242,76,1,2011-17686,76,41392,4,FDIC,Interest on Deposits; Deposit Insurance Coverage,Final rule.,FINAL,Issuance,No,7/14/11,https://www.federalregister.gov/documents/2011/07/14/2011-17686/interest-on-deposits-deposit-insurance-coverage,FDIC-2011-0093-0001,3064-AD78,3064-AD78,https://www.fdic.gov/regulations/laws/federal/2011/11comad78.html,Documents
243,77,0,2010-20567,75,51429,5,CFTC,Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act,Advance notice of proposed rulemaking; request for comments.,ANPR,Issuance,No,8/20/10,https://www.federalregister.gov/documents/2010/08/20/2010-20567/definitions-contained-in-title-vii-of-dodd-frank-wall-street-reform-and-consumer-protection-act,CFTC-2010-0109-0001,3235–AK65,759,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=759,Documents
244,77,1,2010-20567,75,51429,5,SEC,Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act,Advance notice of proposed rulemaking; request for comments.,ANPR,Issuance,No,8/20/10,https://www.federalregister.gov/documents/2010/08/20/2010-20567/definitions-contained-in-title-vii-of-dodd-frank-wall-street-reform-and-consumer-protection-act,SEC-2010-1285-0001,,S7-12-10,https://www.sec.gov/comments/s7-12-10/s71210.shtml,Documents
245,77,2,2011-11008,76,29817,84,CFTC,"Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping",Joint proposed rules; proposed interpretations.,NPR,Issuance,Yes,5/23/11,https://www.federalregister.gov/documents/2011/05/23/2011-11008/further-definition-of-swap-security-based-swap-and-security-based-swap-agreement-mixed-swaps,CFTC-2011-0066-0001,3038-AD46,1032,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1032,Documents
246,77,3,2010-31130,75,80173,46,SEC,"Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”",Joint proposed rule; proposed interpretations.,NPR,Issuance,Yes,12/21/10,https://www.federalregister.gov/documents/2010/12/21/2010-31130/further-definition-of-swap-dealer-security-based-swap-dealer-major-swap-participant-major,SEC-2010-1973-0001,,S7-39-10,https://www.sec.gov/comments/s7-39-10/s73910.shtml,Documents
247,77,4,2012-10562,77,30595,170,CFTC,"Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”",Joint final rule; joint interim final rule; interpretations.,INTERIM-FINAL,Issuance,Yes,5/23/12,https://www.federalregister.gov/documents/2012/05/23/2012-10562/further-definition-of-swap-dealer-security-based-swap-dealer-major-swap-participant-major,CFTC-2012-0058-0001,3038-AD06,933,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=933,Documents
248,77,5,2012-10562,77,30595,170,SEC,"Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”",Joint final rule; joint interim final rule; interpretations.,INTERIM-FINAL,Issuance,Yes,5/23/12,https://www.federalregister.gov/documents/2012/05/23/2012-10562/further-definition-of-swap-dealer-security-based-swap-dealer-major-swap-participant-major,SEC-2012-0811-0001,,S7-39-10,https://www.sec.gov/comments/s7-39-10/s73910.shtml,Documents
249,78,0,2010-20567,75,51429,5,SEC,Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act,Advance notice of proposed rulemaking; request for comments.,ANPR,Issuance,No,8/20/10,https://www.federalregister.gov/documents/2010/08/20/2010-20567/definitions-contained-in-title-vii-of-dodd-frank-wall-street-reform-and-consumer-protection-act,SEC-2010-1285-0001,,S7-12-10,https://www.sec.gov/comments/s7-12-10/s71210.shtml,Documents
250,78,1,2010-20567,75,51429,5,CFTC,Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act,Advance notice of proposed rulemaking; request for comments.,ANPR,Issuance,No,8/20/10,https://www.federalregister.gov/documents/2010/08/20/2010-20567/definitions-contained-in-title-vii-of-dodd-frank-wall-street-reform-and-consumer-protection-act,CFTC-2010-0109-0001,3235–AK65,759,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=759,Documents
251,78,2,2011-11008,76,29817,84,SEC,"Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping",Joint proposed rules; proposed interpretations.,NPR,Issuance,Yes,5/23/11,https://www.federalregister.gov/documents/2011/05/23/2011-11008/further-definition-of-swap-security-based-swap-and-security-based-swap-agreement-mixed-swaps,SEC-2011-0733-0001,,S7-16-11,https://www.sec.gov/comments/s7-16-11/s71611.shtml,Documents
252,78,3,2011-11008,76,29817,84,CFTC,"Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping",Joint proposed rules; proposed interpretations.,NPR,Issuance,Yes,5/23/11,https://www.federalregister.gov/documents/2011/05/23/2011-11008/further-definition-of-swap-security-based-swap-and-security-based-swap-agreement-mixed-swaps,CFTC-2011-0066-0001,3038-AD46,1032,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1032,Documents
253,78,4,2012-18003,77,48207,160,SEC,"Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping",Joint final rule; interpretations; request for comment on an interpretation.,FINAL,Issuance-Complex,Yes,8/13/12,https://www.federalregister.gov/documents/2012/08/13/2012-18003/further-definition-of-swap-security-based-swap-and-security-based-swap-agreement-mixed-swaps,SEC-2012-1328-0001,,S7-16-11,https://www.sec.gov/comments/s7-16-11/s71611.shtml,Documents
254,78,5,2012-18003,77,48207,160,CFTC,"Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping",Joint final rule; interpretations; request for comment on an interpretation.,FINAL,Issuance-Complex,Yes,8/13/12,https://www.federalregister.gov/documents/2012/08/13/2012-18003/further-definition-of-swap-security-based-swap-and-security-based-swap-agreement-mixed-swaps,CFTC-2012-0102-0001,3038-AD46,1256,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1256,Documents
255,79,0,2010-29831,75,75432,8,CFTC,Protection of Collateral of Counterparties to Uncleared Swaps; Treatment of Securities in a Portfolio Margining Account in a Commodity Broker Bankruptcy,Notice of proposed rulemaking.,NPR,Issuance,No,12/3/10,https://www.federalregister.gov/documents/2010/12/03/2010-29831/protection-of-collateral-of-counterparties-to-uncleared-swaps-treatment-of-securities-in-a-portfolio,CFTC-2010-0175-0001,3038-AD28,913,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=913,Documents
256,79,1,2013-26479,78,66621,17,CFTC,Protection of Collateral of Counterparties to Uncleared Swaps; Treatment of Securities in a Portfolio Margining Account in a Commodity Broker Bankruptcy,Final rule.,FINAL,Issuance,No,11/6/13,https://www.federalregister.gov/documents/2013/11/06/2013-26479/protection-of-collateral-of-counterparties-to-uncleared-swaps-treatment-of-securities-in-a-portfolio,CFTC-2013-0094-0001,3038-AD28,913,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=913,Documents
257,80,0,2010-25322,75,63113,8,CFTC,Financial Resources Requirements for Derivatives Clearing Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,10/14/10,https://www.federalregister.gov/documents/2010/10/14/2010-25322/financial-resources-requirements-for-derivatives-clearing-organizations,CFTC-2010-0138-0001,3038–AC98,768,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=768,Documents
258,80,1,2010-31029,75,77576,13,CFTC,General Regulations and Derivatives Clearing Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,12/13/10,https://www.federalregister.gov/documents/2010/12/13/2010-31029/general-regulations-and-derivatives-clearing-organizations,CFTC-2010-0186-0001,3038-AC98,925,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=925,Documents
259,80,2,2010-31131,75,78185,13,CFTC,Information Management Requirements for Derivatives Clearing Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,12/15/10,https://www.federalregister.gov/documents/2010/12/15/2010-31131/information-management-requirements-for-derivatives-clearing-organizations,CFTC-2010-0187-0001,3038-AC98,929,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=929,Documents
260,80,3,2011-690,76,3697,46,CFTC,Risk Management Requirements for Derivatives Clearing Organizations,Notice of proposed rulemaking.,NPR,Issuance,No,1/20/11,https://www.federalregister.gov/documents/2011/01/20/2011-690/risk-management-requirements-for-derivatives-clearing-organizations,CFTC-2011-0005-0001,3038-AC98,994,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=994,Documents
261,80,4,2011-4707,76,13101,11,CFTC,"Requirements for Processing, Clearing, and Transfer of Customer Positions",Notice of proposed rulemaking.,NPR,Issuance,No,3/10/11,https://www.federalregister.gov/documents/2011/03/10/2011-4707/requirements-for-processing-clearing-and-transfer-of-customer-positions,CFTC-2011-0029-0001,3038-AC98,986,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=986,Documents
262,80,5,2011-27536,76,69333,148,CFTC,Derivatives Clearing Organization General Provisions and Core Principles,Final rule.,FINAL,Issuance,No,11/8/11,https://www.federalregister.gov/documents/2011/11/08/2011-27536/derivatives-clearing-organization-general-provisions-and-core-principles,CFTC-2011-0136-0001,3038-AC98,994,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=994,Documents
263,81,0,2013-13670,78,34545,6,FRS,Prohibition Against Federal Assistance to Swaps Entities (Regulation KK),Interim final rule with request for comment.,INTERIM-FINAL,Issuance,No,6/10/13,https://www.federalregister.gov/documents/2013/06/10/2013-13670/prohibition-against-federal-assistance-to-swaps-entities-regulation-kk,FRS-2013-0161-0001,7100-AD96,R-1458,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1458&doc_ver=1,Documents
264,81,1,2013-31204,79,340,4,FRS,Prohibition Against Federal Assistance to Swaps Entities (Regulation KK),Final rule.,FINAL,Issuance,No,1/3/14,https://www.federalregister.gov/documents/2014/01/03/2013-31204/prohibition-against-federal-assistance-to-swaps-entities-regulation-kk,FRS-2014-0001-0001,7100-AD96,R-1458,https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1458&doc_ver=1,Documents
265,82,0,2011-4657,76,11701,5,CFTC,Amendments to Commodity Pool Operator and Commodity Trading Advisor Regulations Resulting From the Dodd-Frank Act,Proposed rules.,NPR,Issuance,No,3/3/11,https://www.federalregister.gov/documents/2011/03/03/2011-4657/amendments-to-commodity-pool-operator-and-commodity-trading-advisor-regulations-resulting-from-the,CFTC-2011-0026-0001,3038-AD49,983,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=983,Documents
266,82,1,2012-21606,77,54355,6,CFTC,Amendments to Commodity Pool Operator and Commodity Trading Advisor Regulations Resulting From the Dodd-Frank Act,Final rules.,FINAL,Issuance,No,9/5/12,https://www.federalregister.gov/documents/2012/09/05/2012-21606/amendments-to-commodity-pool-operator-and-commodity-trading-advisor-regulations-resulting-from-the,CFTC-2012-0115-0001,3038-AD49,983,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=983,Documents
267,83,0,2010-24198,75,59666,5,CFTC,Agricultural Swaps,Advanced notice of proposed rulemaking and request for comment.,ANPR,Issuance,No,9/28/10,https://www.federalregister.gov/documents/2010/09/28/2010-24198/agricultural-swaps,CFTC-2010-0132-0001,,765,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=765,Documents
268,83,1,2011-1685,76,6095,16,CFTC,Commodity Options and Agricultural Swaps,Notice of proposed rulemaking.,NPR,Issuance,No,2/3/11,https://www.federalregister.gov/documents/2011/02/03/2011-1685/commodity-options-and-agricultural-swaps,CFTC-2011-0016-0001,,968,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=968,Documents
269,83,2,2011-20337,76,49291,10,CFTC,Agricultural Swaps,Final rule.,FINAL,Issuance,No,8/10/11,https://www.federalregister.gov/documents/2011/08/10/2011-20337/agricultural-swaps,CFTC-2011-0109-0001,3038-AD21,968,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=968,Documents
270,83,3,2016-06260,81,14966,10,CFTC,Trade Options,Final rule.,FINAL,Issuance,No,3/21/16,https://www.federalregister.gov/documents/2016/03/21/2016-06260/trade-options,CFTC-2016-0024-0001,3038-AE26,1580,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1580,Documents
271,84,0,2011-12270,76,33065,49,CFTC,Adaptation of Regulations to Incorporate Swaps,Notice of proposed rulemaking.,NPR,Issuance,No,6/7/11,https://www.federalregister.gov/documents/2011/06/07/2011-12270/adaptation-of-regulations-to-incorporate-swaps,CFTC-2011-0070-0001,3038–AD53,1037,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1037,Documents
272,84,1,2012-25764,77,66287,64,CFTC,Adaptation of Regulations To Incorporate Swaps,Final rules.,FINAL,Issuance,No,11/2/12,https://www.federalregister.gov/documents/2012/11/02/2012-25764/adaptation-of-regulations-to-incorporate-swaps,CFTC-2012-0136-0001,3038-AD53,1037,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1037,Documents
273,85,0,2011-10927,76,25774,9,TREAS,Determination of Foreign Exchange Swaps and Foreign Exchange Forwards Under the Commodity Exchange Act,Notice of proposed determination.,NPR,Issuance,No,5/5/11,https://www.federalregister.gov/documents/2011/05/05/2011-10927/determination-of-foreign-exchange-swaps-and-foreign-exchange-forwards-under-the-commodity-exchange,TREAS-DO-2011-0004-0001,,TREAS-DO-2011-0004,https://www.regulations.gov/docket?D=TREAS-DO-2011-0004,Documents
274,86,0,2012-3388,77,11345,8,CFTC,Harmonization of Compliance Obligations for Registered Investment Companies Required To Register as Commodity Pool Operators,Proposed rule.,NPR,Issuance,No,2/24/12,https://www.federalregister.gov/documents/2012/02/24/2012-3388/harmonization-of-compliance-obligations-for-registered-investment-companies-required-to-register-as,CFTC-2012-0023-0001,,1161,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1161,Documents
275,86,1,2013-19894,78,52308,28,CFTC,Harmonization of Compliance Obligations for Registered Investment Companies Required To Register as Commodity Pool Operators,Final rule.,FINAL,Issuance,No,8/22/13,https://www.federalregister.gov/documents/2013/08/22/2013-19894/harmonization-of-compliance-obligations-for-registered-investment-companies-required-to-register-as,CFTC-2013-0077-0001,3038-AD75,1161,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1161,Documents
276,87,0,2014-12469,79,31238,10,CFTC,Exclusion of Utility Operations-Related Swaps With Utility Special Entities From De Minimis Threshold for Swaps With Special Entities,Proposed rule.,NPR,Issuance,No,6/2/14,https://www.federalregister.gov/documents/2014/06/02/2014-12469/exclusion-of-utility-operations-related-swaps-with-utility-special-entities-from-de-minimis,CFTC-2014-0044-0001,3038-AE19,1503,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1503,Documents
277,87,1,2014-22966,79,57767,16,CFTC,Exclusion of Utility Operations-Related Swaps With Utility Special Entities From De Minimis Threshold for Swaps With Special Entities,Final rule.,FINAL,Issuance,No,9/26/14,https://www.federalregister.gov/documents/2014/09/26/2014-22966/exclusion-of-utility-operations-related-swaps-with-utility-special-entities-from-de-minimis,CFTC-2014-0062-0001,3038-AE19,1503,https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1503,Documents
