,Topic,Category,Agencies,Dodd-Frank Section,Citation,Regulator Summary,Timeline,Final Rule,Proposed Rule / ANPR,Related Tracker Rows,Associated Rulemap,Doc ID
117,"Large Trader Reporting for Physical Commodity Swaps
For Hub Subscribers: Rulemap 29F (Based on Final Rule) Available",Derivatives,CFTC,737,"17 CFR Parts 15 and 20
RIN 3038-AD17","The Commission is adopting part 20 reporting regulations that require physical commodity swap and swaption reports. The new regulations require routine position reports from clearing organizations, clearing members and swap dealers and also apply to reportable swap trader positions.","2011/09/20 - Effective Date of Final Rule (Note: The CFTC has determined to relieve clearing organizations and clearing members as a class from the reporting requirements of Sections 20.3 and 20.4 until November 21, 2011 for cleared swaps, and January 20, 2012 for uncleared swaps)  
2011/07/22 - Final Rule
2010/12/02 - Comment Deadline for Proposed Rule
2010/11/02 - Proposed Rule","2011/07/22 CFTC Final Rule Large Trader Reporting for Physical Commodity Swaps (Effective September 20, 2011) (Letter Granting Temporary and Conditional Relief from the Requirements of Sections 20.3 and 20.4)","2010/11/02 CFTC Proposed Rule Position Reports for Physical Commodity Swaps (Comments due by December 2, 2010)","402
403
430
432
433",29F,56
118,"Position Limits for Derivatives
For Hub Subscriber: Rulemap 28 Available",Derivatives,CFTC,737,"17 CFR Parts 1, 15, 17, 19, 32, 37, 38, 140 and 150
RIN 3038-AD15
RIN 3038-AD16
RIN 3038-AD82","The CFTC proposes to amend regulations concerning speculative position limits to conform to the Dodd-Frank Act amendemnts to the Commodity Exchange Act. The CFTC proposes to establish speculative position limits for 28 exempt and agricultural commodity futures and option contracts, and physical commodity swaps that are ""economically equivalent"" to such contracts (as such term is used in section 4a(a)(5) of the CEA). In connection with establishing these limits, the CFTC proposes to update some relevant definitions; revise the exemptions from speculative position limits, including for bona fide hedging; and extend and update reporting requirements for persons claiming exemption from these limits. The CFTC proposes appendices to revised part 150 that would (i) provide guidance on risk management exemptions for commodity derivatives contracts in excluded commodities permitted under the proposed definition of bona fide hedging position; (ii) list core referenced futures contracts and commodities that would be substantially the same as a commodity underlying a core referenced futures contract for purposes of the proposed definition of basis contract; (iii) describe and analyze fourteen fact patterns that would satisfy the proposed definition of bona fide hedging position; and (iv) present the proposed speculative position limit levels in tabular form. In addition, the CFTC proposes to update certain of its rules, guidance and acceptable practices for compliance with DCM core principle 5 and SEF core principle 6 in respect of exchange-set speculative position limits and position accountabilitly levels.","2016/07/13 - Comment Deadline for Proposed Rule
2016/06/13 - Proposed Rule
2015/03/30 - Comment Period Reopened for Proposed Rules (Position Limits and Aggregation)
2015/01/22 - Comment Period Reopened for Proposed Rules (Position Limits and Aggregation)
2014/08/04 - Comment Deadline for Proposed Rule (Amendments)
2014/06/12 - Comment Period Reopened for Proposed Rules (Position Limits and Aggregation)
2014/02/10 - Comment Deadline for Proposed Rule (Position Limits)
2014/02/10 - Comment Deadline for Proposed Rule (Aggregation)
2013/12/12 - Proposed Rule (Position Limits)
2013/11/15 - Proposed Rule (Aggregation)
2012/09/28 - Final Rule and Interim Final Rule Vacated
2012/06/29 - Comment Deadline for Proposed Rule
2012/05/30 - Proposed Rule
2012/01/17 - Comment Deadline for Interim Final Rule
2011/11/18 - Final Rule and Interim Rule
2011/03/28 - Comment Deadline for Proposed Rule
2011/01/26 - Proposed Rule","2011/11/18 CFTC Final Rule and Interim Final Rule Position Limits for Futures and Swaps (Final Rule and Interim Final Rule Effective January 17, 2012; Compliance dates vary) (Vacated on September 28, 2012) (Comments on Interim Final Rule due by January 17, 2012)","2016/06/13 CFTC Proposed Rule Position Limits for Derivatives: Certain Exemptions and Guidance (Comments due by July 13, 2016)
2013/12/12 CFTC Proposed Rule Position Limits for Derivatives (Comment deadline reopened on February 26, 2015; comments now due by March 30, 2015)(Comment deadline reopened on December 9, 2014; comments now due by January 22, 2015)(Comment deadline extended to August 4, 2014; comment deadline reopened on June 12, 2014; comments now due by July 3, 2014) (Comments due by February 10, 2014)  (Correction)
2013/11/15 CFTC Proposed Rule Aggregation of Positions (Comment deadline reopened on February 26, 2015; comments now due by March 30, 2015) (Comment deadline reopened on December 9, 2014; comments now due by January 22, 2015) (Comment deadline extended to August 4, 2014; comment deadline reopened on June 12, 2014; comments now due by July 3, 2014) (Comment deadline extended to February 10, 2014; comments originally due by January 14, 2014)
2012/05/30 CFTC Proposed Rule Aggregation Under Part 151, Position Limits for Futures and Swaps (Comments due by June 29, 2012)
2011/01/26 CFTC Proposed Rule Position Limits for Derivatives (Comments due by March 28, 2011)","430
432
433
434
435",28F,57
119,"Ownership and Control Reports, Forms 102/102S, 40/40S, and 71",Derivatives,CFTC,737,"17 CFR Parts 15, 17, 18, and 20
RIN 3038-AD31","The CFTC is adopting new rules and related forms to enhance its identification of futures and swap market participants. These final rules will leverage the CFTC's current position and transaction reporting programs by requiring the electronic submission of trader identification and market participant data on amended Forms 102 and 40, and on new Form 71. The new and amended forms require the reporting of certain trading accounts active on reporting markets that are designated contract markets or swap execution facilities. Among other information, the forms collect ownership and control information with respect to both position-based special accounts and trading accounts that meet specified volume-based reporting levels.","2014/02/18 - Effective Date of Final Rule
2013/11/18 - Final Rule
2012/09/24 - Comment Deadline for Proposed Rule
2012/07/26 - Proposed Rule","2013/11/18 CFTC Final Rule Ownership and Control Reports, Forms 102/102S, 40/40S, and 71 (Effective February 18, 2014)","2012/07/26 CFTC Proposed Rule Ownership and Control Reports, Forms 102/102S, 40/40S, and 71 (Comments due by September 24, 2012)","402
403
430
432
433",29F,231
120,Registration of Foreign Boards of Trade,Derivatives,CFTC,738,"17 CFR Part 48
RIN 3038-AD19",The CFTC is proposing rules to implement new statutory provisions enacted by Title VII of the Dodd-Frank Act. These proposed rules establish a registration requirement that applies to FBOTs that wish to provide their identified members or other participants located in the United States with direct access to their electronic trading and order matching systems.,"2012/02/21 - Effective Date of Final Rule
2011/12/23 - Final Rule
2011/06/03 - Comment Deadline for Proposed Rule (Reopened)
2011/01/18 - Comment Deadline for Proposed Rule
2010/11/19 - Proposed Rule","2011/12/23 CFTC Final Rule Registration of Foreign Boards of Trade (Effective February 21, 2012)","2010/11/19 CFTC Proposed Rule Registration of Foreign Boards of Trade (Comments due by January 18, 2011) (Comment period reopened on May 4, 2011; comments now due by June 3, 2011)",436,,58
121,Regulation of Off-Exchange Retail Foreign Exchange Transactions and Intermediaries,Derivatives,CFTC,"721
742","17 CFR Parts 1, 3, 4, 5, 10, 140, 145, 147, 160 and 166
RIN 3038-AC61","The CFTC is adopting a comprehensive regulatory scheme to implement the provisions of the Dodd-Frank Act and the CFTC Reauthorization Act of 2008 with respect to off-exchange transactions in foreign currency with members of the retail public (i.e., “retail forex transactions”).  The new regulations and amendments to existing regulations published today establish requirements for, among other things, registration, disclosure, recordkeeping, financial reporting, minimum capital, and other operational standards.","2010/10/18 - Effective Date of Final Rule
2010/09/10 - Final Rule","2010/09/10 CFTC Final Rule Regulation of Off-Exchange Retail Foreign Exchange Transactions and Intermediaries (Effective October 18, 2010)",,"345
454",,28
122,Retail Foreign Exchange Transactions,Derivatives,OCC,742,"12 CFR Part 48
RIN 1557–AD42","The OCC is adopting a final rule authorizing national banks, Federal branches and agencies of foreign banks, and their operating subsidiaries to engage in off-exchange transactions in foreign currency with retail customers. The rule also describes various requirements with which national banks, Federal branches and agencies of foreign banks, and their operating subsidiaries must comply to conduct such transactions. The OCC is issuing an interim final rule to expand the scope of its retail forex rule to cover Federal savings associations. Federal savings associations would thus be allowed to engage in retail forex transactions on the same terms as national banks.","2012/11/13 - Comment Deadline for Proposed Rule (Amendments)
2012/10/12 - Proposed Rule (Amendments)
2011/09/12 - Effective Date of Interim Final Rule
2011/07/15 - Effective Date of Final Rule
2011/07/14 - Final Rule
2011/05/23 - Comment Deadline for Proposed Rule
2011/04/22 - Proposed Rule","2011/09/12 OCC Interim Final Rule Retail Foreign Exchange Transactions (Effective September 12, 2011)
2011/07/14 OCC Final Rule Retail Foreign Exchange Transactions (Effective July 15, 2011)","2012/10/12 OCC Proposed Rule Retail Foreign Exchange Transactions (Comments due by November 13, 2012)
2011/04/22 OCC Proposed Rule Retail Foreign Exchange Transactions (Comments due by May 23, 2011)",454,,129
123,Retail Foreign Exchange Transactions,Derivatives,FDIC,742,"12 CFR Part 349
RIN 3064-AD81","The FDIC is adopting a final rule that imposes requirements for foreign currency futures, options on futures, and options that an insured depository institution supervised by the FDIC engages in with retail customers. The final rule also imposes requirements on other foreign currency transactions that are functionally or economically similar, including so-called ""rolling spot"" transactions that an individual enters into with a foreign currency dealer, usually through the Internet or other electronic platform, to transact in foreign currency. The regulations do not apply to traditional foreign currency forwards, spots, or swap transactions that an insured depository institution engages in with business customers to hedge foreign exchange risk. The final rule applies to all state nonmember banks and, as of July 21, 2011, also to all state savings associations.","2011/07/15 - Effective Date of Final Rule
2011/07/12 - Final Rule
2011/06/16 - Comment Deadline for Proposed Rule
2011/05/17 - Proposed Rule","2011/07/12 FDIC Final Rule Retail Foreign Exchange Transactions (Effective July 15, 2011)","2011/05/17 FDIC Proposed Rule Retail Foreign Exchange Transactions (Comments due by June 16, 2011)",454,,135
124,Retail Foreign Exchange Transactions,Derivatives,SEC,742,"17 CFR Part 240
RIN 3235-AL19","The SEC is adopting a rule to permit a registered broker-dealer to engage in a retail forex business, provided that the broker-dealer complies with the Securities Exchange Act of 1934, the rules and regulations thereunder, and the rules of the self-regulatory organization(s) of which the broker-dealer is a member insofar as they are applicable to retail forex transactions. The Commission is adopting Rule 15b12-1 substantially in the form previously adopted as an interim final temporary rule and is providing that the rule will expire on July 31, 2016.","2016/07/16 - Expiration Date of Final Rule
2013/07/16 - Effective Date of Final Rule
2013/07/16 - Final Rule
2013/07/16 - Termination Date of Interim Final Temporary Rule
2011/09/13 - Comment Deadline for Interim Final Temporary Rule
2011/07/15 - Effective Date of Interim Final Rule
2011/07/15 - Interim Final Rule","2013/07/16 SEC Final Rule Retail Foreign Exchange Transactions (Effective July 16, 2013 and will expire July 31, 2016)
2011/07/15 SEC Interim Final Temporary Rule Retail Foreign Exchange Transactions (Effective July 15, 2011 through July 16, 2012; Effective date extended to July 16, 2013) (Extension) (Comments due by September 13, 2011)",,454,,157
125,Retail Foreign Exchange Transactions,Derivatives,Federal Reserve,742,"12 CFR Part 240
RIN 7100-AD79",The Federal Reserve is adopting a final rule to permit banking organizations under its supervision to engage in off-exchange transactions in foreign currency with retail customers. The final rule also describes various requirements with which banking organizations must comply to conduct such transactions.,"2013/05/13 - Effective Date of Final Rule
2013/04/09 - Final Rule
2011/10/11 - Comment Deadline for Proposed Rule
2011/08/03 - Proposed Rule","2013/04/09 Fed Final Rule Retail Foreign Exchange Transactions (Effective May 13, 2013)","2011/08/03 Fed Proposed Rule Retail Foreign Exchange Transactions (Comments due by October 11, 2011)",454,,167
126,Retail Foreign Exchange Transactions,Derivatives,CFTC,742,17 CFR Part 5,"The CFTC is amending its regulations governing off-exchange foreign currency transactions with members of the retail public (i.e., retail forex transactions). These amendments are necessary to incorporate into Part 5 of the CFTC's regulations changes made to the CEA by the Dodd-Frank Act. The CFTC is also issuing certain related technical interpretations of various provisions of the CEA as amended by the Dodd-Frank Act with respect to retail forex transactions.","2011/09/12 - Effective Date of Final Rule
2011/09/12 - Final Rule","2011/09/12 CFTC Final Rule Retail Foreign Exchange Transactions (Effective September 12, 2011)",,454,,174
127,Provisions Common to Registered Entities,Derivatives,CFTC,"718
745
806","17 CFR Part 40
RIN 3038-AD07","The CFTC is adopting regulations to implement certain statutory provisions of the Dodd-Frank Act. The Commission also is amending its existing regulations governing the submission of new products, rules, and rule amendments. The final regulations establish the Commission's procedural framework for the submission of new products, rules, and rule amendments by designated contract markets, derivatives clearing organizations, swap execution facilities, and swap data repositories. In addition, the final regulations prohibit event contracts involving certain excluded commodities, establish special submission procedures for certain rules proposed by systemically important derivatives clearing organizations, and stay the certifications and the approval review periods of novel derivative products pending jurisdictional determinations.","2011/09/26 - Effective Date of Final Rule
2011/07/27 - Final Rule
2011/01/03 - Comment Deadline for Proposed Rule
2010/11/02 - Proposed Rule","2011/07/27 CFTC Final Rule Provisions Common to Registered Entities (Effective September 26, 2011) (Correction)","2010/11/02 CFTC Proposed Rule Provisions Common to Registered Entities (Comments due by January 3, 2011)","331
455
456
583",,59
128,"Antidisruptive Practices Authority
For Hub Subscribers: Rulemap 27 Available",Derivatives,CFTC,747,RIN 3038-AD96,"The CFTC is issuing this interpretive guidance and policy statement (""interpretive statement"") to provide guidance on section 747 of the Dodd-Frank Act, which prohibits certain disruptive trading, practices, or conduct as set forth in new section 4c(a)(5) of the CEA. This interpretive statement will provide market participants and the public with guidance on the scope and application of the statutory prohibitions set forth in CEA section 4c(a)(5).","2013/05/28 - Effective Date of Final Interpretive Guidance and Policy Statement
2013/05/28 - Final Interpretive Guidance and Policy Statement
2011/05/17 - Comment Deadline for Proposed Interpretive Order
2011/03/18 - Proposed Interpretive Order
2011/03/18 - Termination of ANPR
2011/01/03 - Comment Deadline for ANPR
2010/11/02 - ANPR","2013/05/28 CFTC Final Interpretive Guidance and Policy Statement Antidisruptive Practices Authority (Effective May 28, 2013)","2011/03/18 CFTC Proposed Interpretive Order Antidisruptive Practices Authority (Comments due by May 17, 2011)
2011/03/18 CFTC Notice Termination of ANPR on Antidisruptive Practices Authority (Effective March 18, 2011)
2010/11/02 CFTC ANPR Antidisruptive Practices Authority Contained in the Dodd-Frank Act (Comments due by January 3, 2011)",460,27,60
129,Whistleblower Incentives and Protection,Derivatives,CFTC,748,"17 CFR Part 165
RIN 3038-AD04","The CFTC is adopting Final Rules and new forms to implement Section 23 of the Commodity Exchange Act entitled 'Commodity Whistleblower Incentives and Protection.' The Dodd-Frank Act, enacted on July 21, 2010, established a whistleblower program that requires the Commission to pay an award, under regulations prescribed by the Commission and subject to certain limitations, to eligible whistleblowers who voluntarily provide the Commission with original information about a violation of the CEA that leads to the successful enforcement of a covered judicial or administrative action, or a related action. The Dodd-Frank Act also prohibits retaliation by employers against individuals who provide the Commission with information about possible CEA violations.","2011/10/24 - Effective Date of Final Rule
2011/08/25 - Final Rule
2011/02/04 - Comment Deadline for Proposed Rule
2010/12/06 - Proposed Rule","2011/08/25 CFTC Final Rule Implementing the Whistleblower Provisions of Section 23 of the Commodity Exchange Act (Effective October 24, 2011)","2010/12/06 CFTC Proposed Rule Implementing the Whistleblower Provisions of Section 23 of the Commodity Exchange Act (Comments due by February 4, 2011) (Correction)","462
463
464
465",,61
130,"Prohibition on the Employment, or Attempted Employment, of Manipulative and Deceptive Devices; Prohibition on Price Manipulation
[DPW Note: See related Final Rule on Civil Monetary Penalties]
For Hub Subscribers: Rulemap 20F (Based on Final Rule) Available",Derivatives,CFTC,753,"17 CFR Part 180
RIN 3038-AD27","The CFTC is adopting final rules pursuant to section 753 of the Dodd-Frank Act, to implement amended subsections (c)(1) and (c)(3) of section 6 of the Commodity Exchange Act. These rules broadly prohibit fraud and manipulation in connection with any swap, or contract of sale of any commodity in interstate commerce, or contract for future delivery on or subject to the rules of any registered entity.","2011/08/15 - Effective Date of Final Rule
2011/07/14 - Final Rule
2011/01/03 - Comment Deadline for Proposed Rule
2010/11/03 - Proposed Rule","2011/07/14 CFTC Final Rule Prohibition on the Employment, or Attempted Employment, of Manipulative and Deceptive Devices; Prohibition on Price Manipulation (Effective August 15, 2011)","2010/11/03 CFTC Proposed Rule Prohibition of Market Manipulation (Comments due by January 3, 2011)",481,20F,62
131,"Prohibition Against Fraud, Manipulation, and Deception in Connection with Security-Based Swaps
For Hub Subscribers: Rulemap 21 Available",Derivatives,SEC,763,"17 CFR Part 240
RIN 3235-AK77","The SEC is proposing for comment a new rule under the Securities Exchange Act of 1934 that is intended to prevent fraud, manipulation, and deception in connection with the offer, purchase or sale of any security-based swap, the exercise of any right or performance of any obligation under a security-based swap, or the avoidance of such exercise or performance.","2010/12/23 - Comment Deadline for Proposed Rule
2010/11/08 - Proposed Rule",,"2010/11/08 SEC Proposed Rule Prohibition Against Fraud, Manipulation, and Deception in Connection with Security-Based Swaps (Comments due by December 23, 2010)",527,21,63
132,"Security-Based Swap Data Repository Registration, Duties, and Core Principles",Derivatives,SEC,763,"17 CFR Parts 240 and 249
RIN 3235–AK79","Pursuant to Section 763(i) of Title VII of the Dodd-Frank Act, the SEC is adopting new rules under the Securities Exchange Act of 1934 governing the security-based swap data repository registration process, duties, and core principles. The SEC is also adopting a new registration form. Additionally, the SEC is amending several of its existing rules and regulations in order to accommodate SDRs. First, the SEC is amending Regulation S-T and Exchange Rule 24b-2 to clarify that all filings by SDRs, including any confidential portion, and their requests for confidential treatment must be filed electronically. Second, the SEC is amending Regulation S-T by, among other things, adding a new rule that specifically applies to the electronic filing of SDRs' financial reports.","2015/05/18 - Final Rule Effective
2015/03/19 - Final Rule
2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Deadline Reopened
2011/01/24 - Comment Deadline for Proposed Rule
2010/12/10 - Proposed Rule","2015/03/19 SEC Final Rule Security-Based Swap Data Repository Registration, Duties, and Core Principles (Effective May 18, 2015)","2010/12/10 SEC Proposed Rule Security-Based Swap Data Repository Registration, Duties, and Core Principles (Comment deadline reopened until July 22, 2013; Comments originally due by January 24, 2011) (First Correction) (Second Correction","539
541
543
544",,64
133,"End-User Exception to Mandatory Clearing of Security-Based Swaps
For Hub Subscribers: Rulemap 23 Available",Derivatives,SEC,763,"17 CFR Part 240
RIN 3235–AK88","In accordance with the Dodd-Frank Act, the SEC is proposing new Rule 3Cg–1 under the Securities Exchange Act of 1934 governing the exception to mandatory clearing of security-based swaps available for counterparties meeting certain conditions.","2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Deadline Reopened
2011/02/04 - Comment Deadline for Proposed Rule
2010/12/21 - Proposed Rule",,"2010/12/21 SEC Proposed Rule End-User Exception to Mandatory Clearing of Security-Based Swaps (Comment deadline reopened until July 22, 2013; Comments originally due by February 4, 2011)","503
505",23,65
134,"Registration and Regulation of Security-Based Swap Execution Facilities
For Hub Subscribers: Rulemaps Available (Registration) (SEC Form SBSE) (SEC Form SBSE-A) (SEC Form SBSE-BD)",Derivatives,SEC,763,"17 CFR Parts 240, 242 and 249
RIN 3235-AK93","In accordance with Section 763 of Title VII of the Dodd-Frank Act, the SEC is proposing Regulation SB SEF under the Securities Exchange Act of 1934 that is designed to create a registration framework for security-based swap execution facilities (“SB SEFs”); establish rules with respect to the Dodd-Frank Act’s requirement that a SB SEF must comply with the fourteen enumerated core principles and enforce compliance with those principles; and implement a process for a SB SEF to submit to the Commission proposed changes to the SB SEF’s rules. The Commission also is proposing an interpretation of the definition of “security-based swap execution facility” set forth in Section 3(a)(77) of the Exchange Act to provide guidance on the characteristics of those systems or platforms that would satisfy the statutory definition. In addition, the Commission is proposing to amend Rule 3a–1 under the Exchange Act to exempt a registered SB SEF from the Exchange Act’s definition of “exchange” and to add Rule 15a–12 under the Exchange Act to exempt, subject to certain conditions, a registered SB SEF from regulation as a broker pursuant to Section 15(b) of the Exchange Act.","2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Period Reopened
2011/04/04 - Comment Deadline for Proposed Rule
2011/02/28 - Proposed Rule",,"2011/02/28 SEC Proposed Rule Registration and Regulation of Security-Based Swap Execution Facilities (Comment deadline reopened until July 22, 2013; Comments originally due by April 4, 2011)","513
516
517
518",,66
135,"Reporting and Dissemination of Security-Based Swap Information
For Hub Subscribers: Rulemap 15 Available
[DPW Note: See related Interim Final Rule.]",Derivatives,SEC,"763
766","17 CFR Parts 240 and 242
RIN 3235-AK80","In accordance with Sections 763 and 766 of Title VII of the Dodd-Frank Act, the SEC is adopting Regulation SBSR—Reporting and Dissemination of Security-Based Swap Information under the Securities Exchange Act of 1934.  Proposed Regulation SBSR provides for the reporting of security-based swap information to registered security-based swap data repositories or the Commission and the public dissemination of security-based swap transaction, volume, and pricing information. Registered security-based swap data repositories are required to establish and maintain certain policies and procedures regarding how transaction data are reported and disseminated, and participants of registered security-based swap data repositories that are security-based swap dealers or major security-based swap participants are required to establish and maintain policies and procedures that are reasonably designed to ensure that they comply with applicable reporting obligations. Regulation SBSR contains provisions that address the application of the regulatory reporting and public dissemination requirements to cross-border security-based swap activity as well as provisions for permitting market participants to satisfy these requirements through substituted compliance.  Finally, Regulation SBSR will require a registered SDR to register with the Commission as a securities information processor on existing Form SIP.","2015/05/18 - Final Rule Effective
2015/03/19 - Final Rule
2013/08/21 - Comment Deadline for Re-proposed Rule
2013/05/23 - Re-proposed Rule
2011/01/18 - Comment Deadline for Proposed Rule
2010/12/02 - Proposed Rule","2015/03/19 SEC Final Rule Regulation SBSR-Reporting and Dissemination of Security-Based Swap Information (Effective May 18, 2015)","2013/05/23 SEC Proposed Rule and Interpretive Guidance Cross-Border Security-Based Swap Activities; Re-Proposal of Regulation SBSR and Certain Rules and Forms Relating to the Registration of Security-Based Swap Dealers and Major Security-Based Swap Participants (Comments due by August 21, 2013)
2010/12/02 SEC Proposed Rule Reporting and Dissemination of Security-Based Swap Information (Comments due by January 18, 2011)","502
532
533
540
566",15,67
136,"Reporting of Pre-Enactment Security-Based Swap Transaction Data
For Hub Subscribers: Rulemap 14 Available
[DPW Note: See related Proposed Rule.]",Derivatives,SEC,"763
766","17 CFR Part 240
RIN 3235-AK73","Section 766 of Title VII of the Dodd-Frank Act requires the SEC to adopt an interim final rule for the reporting of security-based swaps entered into before July 21, 2010, the terms of which had not expired as of that date, within 90 days of the enactment of the Dodd-Frank Act.  Pursuant to this requirement, the Commission today is adopting an interim final temporary rule that requires specified counterparties to pre-enactment security-based swap transactions to report certain information relating to pre-enactment security-based swaps to a registered security-based swap data repository or to the Commission by the compliance date established in the security-based swap reporting rules required under Sections 3C(e) and 13A(a) of the Securities Exchange Act of 1934, or within 60 days after a registered security-based swap data repository commences operations to receive and maintain data concerning such security-based swaps, whichever occurs first and report information relating to pre-enactment security-based swaps to the Commission upon request. The Commission also is issuing an Interpretive Note to the rule that states that counterparties that may be required to report to the Commission will need to preserve information pertaining to the terms of these pre-enactment security-based swaps.","2012/01/12 - Expiration of Interim Final Rule
2010/12/20 - Comment Deadline for Interim Final Rule
2010/10/20 - Effective Date of Interim Final Rule
2010/10/20 - Interim Final Rule","2010/10/20 SEC Interim Final Temporary Rule Reporting of Security-Based Swap Transaction Data (Comments due by December 20, 2010) (Effective October 20, 2010 through January 12, 2012, unless replaced with permanent rule)",,"501
565",14,68
137,"Clearing Agency Standards for Operation and Governance
[DPW Note: The Proposed Rule will be addressed in separate Final Rules. See related row.]",Derivatives,SEC,"763
805","17 CFR Part 240
RIN 3235-AL13","In accordance with Section 763 of Title VII of the Dodd-Frank Act, Section 805 of Title VIII of the Dodd-Frank Act, and Section 17A of the Securities Exchange Act of 1934, the SEC is proposing rules regarding registration of clearing agencies and standards for the operation and governance of clearing agencies.  The proposed rules are designed to enhance the regulatory framework for the supervision of clearing agencies.","2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Deadline Reopened
2011/04/29 - Comment Deadline for Proposed Rule
2011/03/16 - Proposed Rule",,"2011/03/16 SEC Proposed Rule Clearing Agency Standards for Operation and Governance (Comment deadline reopened until July 22, 2013; Comments originally due by April 29, 2011)","508
510
511
581",,69
138,"Process for Submissions for Review of Security-Based Swaps for Mandatory Clearing and Notice Filing Requirements for Clearing Agencies
For Hub Subscribers: Rulemap 26F Available",Derivatives,SEC,"763
806
916","17 CFR Parts 240 and 249
RIN 3235–AK87","In accordance with Section 763(a) of the Dodd-Frank Act, the SEC is adopting rules under the Securities Exchange Act of 1934 to specify the process for a registered clearing agency’s submission for review of any security-based swap, or any group, category, type or class of security-based swaps, that the clearing agency plans to accept for clearing, the manner of notice the clearing agency must provide to its members of such submission and the procedure by which the Commission may stay the requirement that a security-based swap is subject to mandatory clearing while the clearing of the security-based swap is reviewed.  The Commission also is adopting a rule to specify that when a security-based swap is required to be cleared, the submission of the security-based swap for clearing must be for central clearing to a clearing agency that functions as a central counterparty. In addition, the Commission is adopting rules to define and describe when notices of proposed changes to rules, procedures or operations are required to be filed by designated financial market utilities in accordance with Section 806(e) of the Dodd-Frank Act and to set forth the process for filing such notices with the Commission. Furthermore, the Commission is adopting rules to make conforming changes as required by the amendments to Section 19(b) of the Exchange Act contained in Section 916 of the Dodd-Frank Act.","2013/12/10 - Effective Date of Final Rule: Amendments to Form 19b-4, Rule 19b-4(n)(1)(ii) and Rule 19b-4(o)(2)(ii)
2012/12/10 - Amendment to Final Rule
2012/08/13 - Effective Date of Final Rule
2012/07/13 - Final Rule
2011/02/14 - Comment Deadline for Proposed Rule
2010/12/30 - Proposed Rule","2012/07/13 SEC Final Rule Process for Submissions for Review of Security-Based Swaps for Mandatory Clearing and Notice Filing Requirements for Clearing Agencies; Technical Amendments to Rule 19b-4 and Form 19b-4 Applicable to All Self-Regulatory Organizations (Effective August 13, 2012, except for amendments to Form 19b-4, which are effective December 13, 2012) (Compliance dates vary) (Correction) (Amendment)","2010/12/30 SEC Proposed Rule Process for Submissions for Review of Security-Based Swaps for Mandatory Clearing and Notice Filing Requirements for Clearing Agencies (Comments due by February 14, 2011)","499
500
583
606",26F,70
139,"Capital, Margin, and Segregation Requirements for Security-Based Swap Dealers and Major Security-Based Swap Participants and Capital Requirements for Broker-Dealers",Derivatives,SEC,"763
764","17 CFR Part 240
RIN 3235-AL12","In accordance with sections 763 and 764 of the Dodd-Frank Act, the SEC, pursuant to the Exchange Act, is proposing capital and margin requirements for security-based swap dealers and major security-based swap participants, segregation requirements for SBSDs, and notification requirements with respect to segregation for SBSDs and MSBSPs. The SEC also is proposing to increase the minimum net capital requirements for broker-dealers permitted to use the alternative internal model-based method for computing net capital.","2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Deadline Reopened
2013/02/22 - Comment Deadline for Proposed Rule
2012/11/23 - Proposed Rule",,"2012/11/23 SEC Proposed Rule Capital, Margin, and Segregation Requirements for Security-Based Swap Dealers and Major Security-Based Swap Participants and Capital Requirements for Broker-Dealers (Comment deadline reopened until July 22, 2013; Comment deadline extended to February 22, 2013; comments originally due by January 22, 2013) (Correction)","520
522
550
551",,249
140,"Clearing Agency Standards
[DPW Note: The Proposed Rule will be addressed in separate Final Rules. See related row.]",Derivatives,SEC,"763
805","17 CFR Part 240
RIN 3235 AL13","The SEC is adopting new Rule 17Ad-22 in accordance with Section 17A of the Exchange Act, Section 763 of Title VII of the Dodd-Frank Act, and Section 805 of Title VIII of the Dodd-Frank Act. Rule 17Ad-22 establishes minimum requirements regarding how registered clearing agencies must maintain effective risk management procedures and controls as well as meet the statutory requirements under the Exchange Act on an ongoing basis.","2013/07/22 - Comment Deadline for Proposed Rule
2013/05/23 - Comment Period Reopened
2013/01/02 - Effective Date of Final Rule
2012/11/02 - Final Rule
2011/04/29 - Comment Deadline for Proposed Rule
2011/03/16 - Proposed Rule","2012/11/02 SEC Final Rule Clearing Agency Standards (Effective January 2, 2013)","2011/03/16 SEC Proposed Rule Clearing Agency Standards for Operation and Governance (Comment deadline reopened until July 22, 2013; Comments originally due by April 29, 2011)","510
511
581",,250
141,Standards for Covered Clearing Agencies,Derivatives,SEC,"763
805","17 CFR Part 240
RIN 3235-AL48","The SEC proposes to amend Rule 17 Ad-22 and add Rule 17Ab2-2 pursuant to Section 17A of the Securities Exchange Act of 1934 and the Payment, Clearing, and Settlement Supervision Act of 2010, adopted in Title VIII of the Dodd-Frank Act. Among other things, the proposed rules would establish standards for the operation and governance of certain types of registered clearing agencies that meet the definition of a ""covered clearing agency.""","2014/05/27 - Comment Deadline for Proposed Rule
2014/03/26 - Proposed Rule",,"2014/03/26 SEC Proposed Rule Standards for Covered Clearing Agencies (Comments due by May 27, 2014) (Republication)","510
511
581",,294
